Date,nps,text
2023-01-03,8,No me dio la opción de pago a meses sin intereses
2023-01-03,6,"muy tardado, no me llega la confirmación vía correo"
2023-01-03,8,"Que los precios no sean tan caros, eso atraeria mas clientes mas que presentacion del avion, de la pagina web, la comodidad del Aeropuerto etc. etc."
2023-01-03,2,"Me estas mandando el NPS cuando todavía ni siquiera termino la compra, pesima experiencia de encuestas."
2023-01-03,0,no pude pagar
2023-01-03,5,cambian los precios casi por pagar
2023-01-03,8,Sean claros en costos y bajar los costos de la asignación de asientos
2023-01-03,0,Esta horrible su pagina y esta muy revuelta
2023-01-03,6,BAJEN PRECIOS
2023-01-03,8,es confusa
2023-01-03,6,kkkkkk
2023-01-03,0,deberian hacerla mas amigable
2023-01-03,8,permitir selección de asientos sin cargo
2023-01-03,8,x
2023-01-03,6,costos elevados
2023-01-03,6,bajar los precios.  hay veses que es emergencia y los precios son elevados. y tenemos que pagar hasta por los asientos.
2023-01-03,8,GOOD SERVICE
2023-01-03,8,no elevar tanto los precios
2023-01-03,8,si esta bien
2023-01-03,7,Que coloquen el total del costo del boleto ya que al momento de cotizar te sale una cantidad y al momento de pagar aumenta.
2023-01-03,7,"Reducir la visibilidad de extras y NO obligar a aceptar un cargo no solicitado (reembolso total), en el paso final."
2023-01-03,1,"No puedo canjear mis puntos doters, en la página de Doters me aparece que tengo 69,000 pero cuando entro a mi cuenta doters-vivaaerobus me aparecen cero puntos."
2023-01-03,7,"Que desde un principio te muestre todos los costos, asientos, seguros, etc"
2023-01-03,5,No pongan tantas trampas para hacer cargos extras que no son realmente necesarios.
2023-01-03,8,la publicidad me confunde un poco
2023-01-03,5,"MUCHIOS GASTOS OCULTOS, ENGAÑOSOS"
2023-01-03,0,dar a concer el pago desl impuesto desde la compra
2023-01-03,8,NO PRECARGANDO CARGOS ADICIONALES DE SEGUROS Y EXTRAS
2023-01-03,7,"Que aparezca el calendario con los precios, desde un inicio. Poder declinar los Adicionales."
