Unnamed: 0,Date,nps,Comment
0,2023-04-17 20:23:04,4,PRECIO
1,2023-04-17 20:21:04,4,ES LA PRIMERA VEZ Y SI ME SIENTO CON ALGO DE INSERTIDUMBRE SI LO ESTOY HACIUENDO BIEN
2,2023-04-17 20:17:07,4,Es muy rapido
3,2023-04-17 20:17:04,5,Bueno
4,2023-04-17 20:10:06,4,Prcticidad
5,2023-04-17 20:07:47,5,Es muy fácil de manejar la página web y la app
6,2023-04-17 19:50:05,5,Por la facilidad de la navegación
7,2023-04-17 19:49:52,5,MUY RAPIDO PARA HACER CHECK IN
8,2023-04-17 19:47:04,5,.
9,2023-04-17 19:45:05,5,TODO ES EXCELENTE
10,2023-04-17 19:42:54,5,FUE SENCILLO
11,2023-04-17 19:40:06,4,"facilidad de compra en linea, vuelos en tiempo"
12,2023-04-17 19:39:07,5,MUY FACIL DE USAR
13,2023-04-17 19:37:25,5,muy rapido
14,2023-04-17 19:35:56,5,Excelente
15,2023-04-17 19:35:09,4,PARA VOLAR SIN CONTRATIEMPOS
16,2023-04-17 19:29:48,5,RAPIDEZ
17,2023-04-17 19:29:22,5,.
18,2023-04-17 19:28:40,5,por el buen servicio
19,2023-04-17 19:26:45,5,facil y practico
20,2023-04-17 19:23:36,5,.
21,2023-04-17 19:22:23,5,ES MUY SENCILLO
22,2023-04-17 19:17:48,4,Útil
23,2023-04-17 19:16:10,4,MUY FACIL DE USAR
24,2023-04-17 19:13:06,5,todo muy practico
25,2023-04-17 19:12:04,5,si
26,2023-04-17 19:10:26,5,POR QUE CONOZCAN LA AEROLINEA
27,2023-04-17 19:02:04,5,PORQUE ME GUSTA SU SERVICIO
28,2023-04-17 18:56:22,5,Por sencillez y rapidez
29,2023-04-17 18:49:05,5,:D
30,2023-04-17 18:40:27,5,es muy facil
31,2023-04-17 18:34:56,5,ágil
32,2023-04-17 18:32:37,5,rapidos
33,2023-04-17 18:31:32,5,POR LA RAPIDEZ
34,2023-04-17 18:29:49,5,super facil
35,2023-04-17 18:21:13,4,ES MUY FACIL
36,2023-04-17 18:19:10,5,si
37,2023-04-17 18:15:05,5,rapida y eficiente la página
38,2023-04-17 18:04:22,5,Muy eficiente
39,2023-04-17 18:03:36,5,Es muy fácil y rápido.
40,2023-04-17 18:02:08,5,excelente
41,2023-04-17 17:54:49,5,"Es muy sencillo y rápido todo, gracias"
42,2023-04-17 17:52:04,5,Facil de usar
43,2023-04-17 17:45:05,5,conveniente y rapido
44,2023-04-17 17:43:25,5,por la facilidad
45,2023-04-17 17:39:30,5,servicio en webb
46,2023-04-17 17:38:16,5,POR LA FACILIDAD DEL TRAMITE
47,2023-04-17 17:29:16,5,Amigable
48,2023-04-17 17:26:21,4,"FACILIDAD AL HACERLO, ME EVITO TRAMITES EN EL AEROPUERTO"
49,2023-04-17 17:26:03,5,La flexibilidad.
50,2023-04-17 17:25:54,5,buen servicio
51,2023-04-17 17:17:57,5,ES CON LOS QUE YO VUELO
52,2023-04-17 17:16:04,5,todo excelente
53,2023-04-17 17:13:03,5,Facil acceso
54,2023-04-17 17:11:22,5,Sencillez
55,2023-04-17 17:08:28,4,EL SERVICIO ES RÁPIDO
56,2023-04-17 16:57:50,5,MUY FACIL
57,2023-04-17 16:56:04,4,RAPIDEZ Y PRACTICIDAD
58,2023-04-17 16:53:04,5,por la rapidez
59,2023-04-17 16:48:43,4,muy buen servicio
60,2023-04-17 16:45:24,5,Buena y fácil de usar
61,2023-04-17 16:40:49,5,Muy facil
62,2023-04-17 16:39:49,5,Todo el proceso fue rápido y sencillo.
63,2023-04-17 16:38:29,4,POR SU RAPIDEZ
64,2023-04-17 16:35:05,5,TODO MUY BIEN
65,2023-04-17 16:27:37,5,excellent servicio
66,2023-04-17 16:26:51,5,La página web es muy práctica
67,2023-04-17 16:22:04,4,muy birn
68,2023-04-17 16:16:12,5,claro
69,2023-04-17 16:16:04,5,AGIL Y FACIL PROCESO
70,2023-04-17 16:15:05,5,"Es fácil, rápido y muy claro."
71,2023-04-17 16:13:45,5,Es rápido y fácil
72,2023-04-17 16:13:04,5,facil
73,2023-04-17 16:12:04,4,es facil
74,2023-04-17 16:12:04,5,fasilidad
75,2023-04-17 16:08:52,5,es muy agil el tramite
76,2023-04-17 16:08:07,5,Facilidad de uso
77,2023-04-17 16:01:17,4,na
78,2023-04-17 15:56:06,5,FACIL DE USAR
79,2023-04-17 15:51:55,4,excelente servicio
80,2023-04-17 15:50:28,5,por lo sencillo y el tiempo de ahorro en el aeropuerto
81,2023-04-17 15:45:45,5,gracias
82,2023-04-17 15:42:25,5,POR LOS SERVICIOS
83,2023-04-17 15:39:37,5,muy agil
84,2023-04-17 15:35:23,5,buen servicio
85,2023-04-17 15:32:44,5,Facil de utilizar
86,2023-04-17 15:23:33,5,Muy fácil y muy rápido
87,2023-04-17 15:23:12,4,Facilidad
88,2023-04-17 15:22:22,5,por disminución de tiempo por las largas filas que se hacen.
89,2023-04-17 15:12:28,5,"Hasta ahora, la pagina ha sido amigable y facil de entender"
90,2023-04-17 15:10:42,4,b
91,2023-04-17 14:54:55,5,sencillo y claro
92,2023-04-17 14:50:09,5,MUY FACIL
93,2023-04-17 14:03:21,5,bu en servicio
94,2023-04-17 13:28:45,5,Muy sencillo
95,2023-04-17 13:19:24,5,HASTA AHORA TODO ME HA SALIDO BIEN
96,2023-04-17 13:02:56,5,Muy facil y rapido
97,2023-04-17 12:19:21,5,Fácil de usar
98,2023-04-17 11:24:55,5,BUEN SERVICIO Y BUEN PRECIO
99,2023-04-17 08:07:36,4,rapidez
100,2023-04-17 07:08:05,5,Es fácil y práctico
101,2023-04-17 07:04:34,5,Es la primera vez que viajo por Viva Aerobus y hasta ahora ha sido una muy buena experiencia
102,2023-04-17 05:11:49,5,por su rapidez
103,2023-04-17 05:03:30,4,Es sencilla y tiene buenas ofertas.
104,2023-04-17 04:02:09,5,FACIL Y RAPIDO
105,2023-04-17 03:16:36,5,muy intuitiva y rapido el procedimiento
106,2023-04-17 02:58:44,5,OK
107,2023-04-17 02:36:09,5,practico
108,2023-04-17 02:21:31,5,"Es muy amigable la pagina, no se traba y es muy claro todo"
109,2023-04-17 02:11:13,5,Bien!
110,2023-04-17 01:51:29,4,BUEN SERVICIO
111,2023-04-17 01:34:46,4,muy sencillo
112,2023-04-17 01:24:17,4,Es bueno
113,2023-04-17 00:59:08,5,Fue rapido el tema
114,2023-04-17 00:41:16,5,POR QUE ES LA MEJOR OPCION PARA AGILIZAR EL ABORDAJE
115,2023-04-17 00:40:38,4,.
116,2023-04-17 00:37:27,4,Por economia
117,2023-04-17 00:33:03,5,LAS VECES QUE UTILIZADO EL SERVICIO HE QUEDADO SATISF
118,2023-04-17 00:26:32,5,exelentemente explicado
119,2023-04-17 00:22:09,5,m
120,2023-04-16 23:56:31,5,PRACTICO
121,2023-04-16 23:53:04,5,por su buen servicio
122,2023-04-16 23:48:03,5,Al parecer es muy fácil
123,2023-04-16 23:36:47,5,MUY SENCILLO DE UTILIZAR
124,2023-04-16 23:36:45,5,Fue rápido y efectivo
125,2023-04-16 23:08:04,4,RAPIDA
126,2023-04-16 22:57:04,5,PAGINA RAPIDA Y AMIGABLE
127,2023-04-16 22:40:45,5,FUE RAPIDO Y FACIL
128,2023-04-16 22:29:04,4,muy sencillo
129,2023-04-16 22:21:07,4,ENLACES DIRECTOS
130,2023-04-16 22:06:04,5,FUE MUY SENCILLO
131,2023-04-16 22:00:56,5,Eficiente
132,2023-04-16 21:56:14,5,Rapido
133,2023-04-16 21:47:04,5,EFCIENTE SERVICIO
134,2023-04-16 21:21:52,5,excelente servicio
135,2023-04-16 21:09:23,4,facil y rapido
136,2023-04-16 21:03:17,5,:)
137,2023-04-16 21:00:19,5,FACCIL Y RAPIDO
138,2023-04-16 20:32:43,5,bien
139,2023-04-16 20:30:41,5,eS MUY RAPIDO
140,2023-04-16 20:27:46,5,indicaciones para imprimir los pases de abordar
141,2023-04-16 20:24:03,5,eficiencia
142,2023-04-16 20:05:23,5,MUY SENCILLO
143,2023-04-16 20:03:23,5,fue facil de hacerlo
144,2023-04-16 19:45:18,5,Muy fácil y rápido
145,2023-04-16 19:39:38,5,facil y rapido
146,2023-04-16 19:36:44,5,super rapido sencillo y facil de hacer
147,2023-04-16 19:32:11,5,rapido y facil
148,2023-04-16 19:31:37,5,FACIL DE MANEJAR
149,2023-04-16 19:30:32,5,"Fue muy agil el proceso, excelente servicio"
150,2023-04-16 19:12:17,4,TODO OK
151,2023-04-16 18:31:04,5,FACIL Y SENCILLO
152,2023-04-16 18:28:13,5,buena aereolinea
153,2023-04-16 18:24:25,4,porque es seguro ya he viajado varias veces por este linea.
154,2023-04-16 18:14:35,4,CONFIABLE
155,2023-04-16 17:45:34,5,excelente servicio
