,Date,nps,Comment
0,2023-04-17 20:23:04,9,PRECIO
1,2023-04-17 20:21:04,9,ES LA PRIMERA VEZ Y SI ME SIENTO CON ALGO DE INSERTIDUMBRE SI LO ESTOY HACIUENDO BIEN
2,2023-04-17 20:17:07,9,Es muy rapido
3,2023-04-17 20:17:04,10,Bueno
4,2023-04-17 20:10:06,9,Prcticidad
5,2023-04-17 20:07:47,10,Es muy fácil de manejar la página web y la app
6,2023-04-17 19:50:05,10,Por la facilidad de la navegación
7,2023-04-17 19:49:52,10,MUY RAPIDO PARA HACER CHECK IN
8,2023-04-17 19:47:04,10,.
9,2023-04-17 19:45:05,10,TODO ES EXCELENTE
10,2023-04-17 19:42:54,10,FUE SENCILLO
11,2023-04-17 19:40:06,9,"facilidad de compra en linea, vuelos en tiempo"
12,2023-04-17 19:39:07,10,MUY FACIL DE USAR
13,2023-04-17 19:37:25,10,muy rapido
14,2023-04-17 19:35:56,10,Excelente
15,2023-04-17 19:35:09,9,PARA VOLAR SIN CONTRATIEMPOS
16,2023-04-17 19:29:48,10,RAPIDEZ
17,2023-04-17 19:29:22,10,.
18,2023-04-17 19:28:40,10,por el buen servicio
19,2023-04-17 19:26:45,10,facil y practico
20,2023-04-17 19:23:36,10,.
21,2023-04-17 19:22:23,10,ES MUY SENCILLO
22,2023-04-17 19:17:48,9,Útil
23,2023-04-17 19:16:10,9,MUY FACIL DE USAR
24,2023-04-17 19:13:06,10,todo muy practico
25,2023-04-17 19:12:04,10,si
26,2023-04-17 19:10:26,10,POR QUE CONOZCAN LA AEROLINEA
27,2023-04-17 19:02:04,10,PORQUE ME GUSTA SU SERVICIO
28,2023-04-17 18:56:22,10,Por sencillez y rapidez
29,2023-04-17 18:49:05,10,:D
30,2023-04-17 18:40:27,10,es muy facil
31,2023-04-17 18:34:56,10,ágil
32,2023-04-17 18:32:37,10,rapidos
33,2023-04-17 18:31:32,10,POR LA RAPIDEZ
34,2023-04-17 18:29:49,10,super facil
35,2023-04-17 18:21:13,9,ES MUY FACIL
36,2023-04-17 18:19:10,10,si
37,2023-04-17 18:15:05,10,rapida y eficiente la página
38,2023-04-17 18:04:22,10,Muy eficiente
39,2023-04-17 18:03:36,10,Es muy fácil y rápido.
40,2023-04-17 18:02:08,10,excelente
41,2023-04-17 17:54:49,10,"Es muy sencillo y rápido todo, gracias"
42,2023-04-17 17:52:04,10,Facil de usar
43,2023-04-17 17:45:05,10,conveniente y rapido
44,2023-04-17 17:43:25,10,por la facilidad
45,2023-04-17 17:39:30,10,servicio en webb
46,2023-04-17 17:38:16,10,POR LA FACILIDAD DEL TRAMITE
47,2023-04-17 17:29:16,10,Amigable
48,2023-04-17 17:26:21,9,"FACILIDAD AL HACERLO, ME EVITO TRAMITES EN EL AEROPUERTO"
49,2023-04-17 17:26:03,10,La flexibilidad.
50,2023-04-17 17:25:54,10,buen servicio
51,2023-04-17 17:17:57,10,ES CON LOS QUE YO VUELO
52,2023-04-17 17:16:04,10,todo excelente
53,2023-04-17 17:13:03,10,Facil acceso
54,2023-04-17 17:11:22,10,Sencillez
55,2023-04-17 17:08:28,9,EL SERVICIO ES RÁPIDO
56,2023-04-17 16:57:50,10,MUY FACIL
57,2023-04-17 16:56:04,9,RAPIDEZ Y PRACTICIDAD
58,2023-04-17 16:53:04,10,por la rapidez
59,2023-04-17 16:48:43,9,muy buen servicio
60,2023-04-17 16:45:24,10,Buena y fácil de usar
61,2023-04-17 16:40:49,10,Muy facil
62,2023-04-17 16:39:49,10,Todo el proceso fue rápido y sencillo.
63,2023-04-17 16:38:29,9,POR SU RAPIDEZ
64,2023-04-17 16:35:05,10,TODO MUY BIEN
65,2023-04-17 16:27:37,10,excellent servicio
66,2023-04-17 16:26:51,10,La página web es muy práctica
67,2023-04-17 16:22:04,9,muy birn
68,2023-04-17 16:16:12,10,claro
69,2023-04-17 16:16:04,10,AGIL Y FACIL PROCESO
70,2023-04-17 16:15:05,10,"Es fácil, rápido y muy claro."
71,2023-04-17 16:13:45,10,Es rápido y fácil
72,2023-04-17 16:13:04,10,facil
73,2023-04-17 16:12:04,9,es facil
74,2023-04-17 16:12:04,10,fasilidad
75,2023-04-17 16:08:52,10,es muy agil el tramite
76,2023-04-17 16:08:07,10,Facilidad de uso
77,2023-04-17 16:01:17,9,na
78,2023-04-17 15:56:06,10,FACIL DE USAR
79,2023-04-17 15:51:55,9,excelente servicio
80,2023-04-17 15:50:28,10,por lo sencillo y el tiempo de ahorro en el aeropuerto
81,2023-04-17 15:45:45,10,gracias
82,2023-04-17 15:42:25,10,POR LOS SERVICIOS
83,2023-04-17 15:39:37,10,muy agil
84,2023-04-17 15:35:23,10,buen servicio
85,2023-04-17 15:32:44,10,Facil de utilizar
86,2023-04-17 15:23:33,10,Muy fácil y muy rápido
87,2023-04-17 15:23:12,9,Facilidad
88,2023-04-17 15:22:22,10,por disminución de tiempo por las largas filas que se hacen.
89,2023-04-17 15:12:28,10,"Hasta ahora, la pagina ha sido amigable y facil de entender"
90,2023-04-17 15:10:42,9,b
91,2023-04-17 14:54:55,10,sencillo y claro
92,2023-04-17 14:50:09,10,MUY FACIL
93,2023-04-17 14:03:21,10,bu en servicio
94,2023-04-17 13:28:45,10,Muy sencillo
95,2023-04-17 13:19:24,10,HASTA AHORA TODO ME HA SALIDO BIEN
96,2023-04-17 13:02:56,10,Muy facil y rapido
97,2023-04-17 12:19:21,10,Fácil de usar
98,2023-04-17 11:24:55,10,BUEN SERVICIO Y BUEN PRECIO
99,2023-04-17 08:07:36,9,rapidez
100,2023-04-17 07:08:05,10,Es fácil y práctico
101,2023-04-17 07:04:34,10,Es la primera vez que viajo por Viva Aerobus y hasta ahora ha sido una muy buena experiencia
102,2023-04-17 05:11:49,10,por su rapidez
103,2023-04-17 05:03:30,9,Es sencilla y tiene buenas ofertas.
104,2023-04-17 04:02:09,10,FACIL Y RAPIDO
105,2023-04-17 03:16:36,10,muy intuitiva y rapido el procedimiento
106,2023-04-17 02:58:44,10,OK
107,2023-04-17 02:36:09,10,practico
108,2023-04-17 02:21:31,10,"Es muy amigable la pagina, no se traba y es muy claro todo"
109,2023-04-17 02:11:13,10,Bien!
110,2023-04-17 01:51:29,9,BUEN SERVICIO
111,2023-04-17 01:34:46,9,muy sencillo
112,2023-04-17 01:24:17,9,Es bueno
113,2023-04-17 00:59:08,10,Fue rapido el tema
114,2023-04-17 00:41:16,10,POR QUE ES LA MEJOR OPCION PARA AGILIZAR EL ABORDAJE
